Seen,Title,Alt,Year
FALSE,A Trip to the Moon ,Le Voyage Dans La Lune,1902
FALSE,The Great Train Robbery ,,1903
FALSE,The Birth of a Nation ,,1915
FALSE,Les Vampires ,,1915
FALSE,Intolerance ,,1916
FALSE,Broken Blossoms ,,1919
FALSE,The Cabinet of Dr. Caligari ,Das Kabinett des Doktor Caligari,1920
FALSE,Within Our Gates ,,1920
FALSE,Way Down East ,,1920
FALSE,The Phantom Carriage ,Körkarlen,1921
FALSE,Orphans of the Storm ,,1921
FALSE,"Dr. Mabuse, the Gambler ","Dr. Mabuse, der Spieler",1922
FALSE,The Smiling Madame Beudet ,La Souriante Madame Beudet,1922
TRUE,"Nosferatu","Nosferatu, eine Symphonie des Grauens",1922
FALSE,Nanook of the North ,,1922
FALSE,Foolish Wives ,,1922
FALSE,The Wheel ,La Roue,1923
FALSE,Häxan ,Haxen,1923
FALSE,Our Hospitality ,,1923
FALSE,The Last Laugh ,Der Letzte Mann,1924
FALSE,Strike ,Stachka,1924
FALSE,"Sherlock, Jr. ",,1924
FALSE,The Great White Silence ,,1922
FALSE,Greed ,,1924
FALSE,The Thief of Bagdad ,,1924
FALSE,Battleship Potemkin ,Bronenosets Potyomkin,1925
FALSE,The Eagle ,,1925
FALSE,The Phantom of the Opera ,,1925
FALSE,The Gold Rush ,,1925
FALSE,The Big Parade ,,1925
FALSE,Seven Chances ,,1925
FALSE,The Adventures of Prince Achmed ,Die Abenteuer des Prinzen Achmed,1926
FALSE,October ,Oktyabr,1927
FALSE,Metropolis ,,1927
FALSE,Sunrise ,,1927
FALSE,The General ,,1926
FALSE,The Unknown ,,1927
FALSE,The Jazz Singer ,,1927
FALSE,Napoléon,,1927
FALSE,The Kid Brother ,,1927
FALSE,The Passion of Joan of Arc ,La Passion de Jeanne d'Arc,1928
FALSE,Storm Over Asia ,Potomok Chingis-khana,1928
FALSE,An Andalusian Dog ,Un Chien Andalou,1928
FALSE,The Crowd ,,1928
FALSE,The Docks of New York ,,1928
FALSE,Steamboat Bill, Jr. ,,1928
FALSE,The Man with the Movie Camera ,Chelovek S Kinoapparatom,1929
FALSE,Pandora's Box ,Die Büchse der Pandora,1929
FALSE,A Throw of Dice ,Prapancha Pash,1929
FALSE,Blackmail ,,1929
FALSE,The Blue Angel ,Der Blaue Engel,1930
FALSE,The Age of Gold ,L'Âge d'or,1930
FALSE,Earth ,Zemlya,1930
FALSE,All Quiet on the Western Front ,,1930
FALSE,The Bitch ,La Chienne,1931
FALSE,The Million ,Le Million,1931
FALSE,Little Caesar ,,1931
FALSE,Freedom for Us ,À Nous la Liberté,1931
FALSE,Limite ,,1931
FALSE,Tabu ,,1931
FALSE,City Lights ,,1931
FALSE,Dracula ,,1931
FALSE,Frankenstein ,,1931
FALSE,The Public Enemy ,,1931
FALSE,M ,M - Eine Stadt sucht einen Mörder,1931
FALSE,Boudu Saved from Drowning ,Boudu Sauvé des Eaux,1932
FALSE,The Vampire ,Vampyr,1932
FALSE,I Am a Fugitive From a Chain Gang ,,1932
FALSE,Love Me Tonight ,,1932
FALSE,Shanghai Express ,,1932
FALSE,Trouble in Paradise ,,1932
FALSE,Scarface,,1932
FALSE,Freaks ,,1932
FALSE,Me and My Gal ,,1932
FALSE,Land Without Bread ,Las Hurdes,1933
FALSE,Zero for Conduct ,Zéro de Conduite,1933
FALSE,42nd Street ,,1933
FALSE,Footlight Parade ,,1933
FALSE,The Bitter Tea of General Yen ,,1933
FALSE,She Done Him Wrong ,,1933
FALSE,Duck Soup ,,1933
FALSE,Gold Diggers of 1933 ,,1933
FALSE,King Kong ,,1933
FALSE,Sons of the Desert ,,1933
FALSE,Queen Christina ,,1933
FALSE,The Goddess ,Shen nu,1934
FALSE,Triumph of the Will ,Triumph des Willens,1934
FALSE,It's a Gift ,,1934
FALSE,It Happened One Night ,,1934
FALSE,L'Atalante ,,1934
FALSE,The Black Cat ,,1934
FALSE,The Thin Man ,,1934
FALSE,Judge Priest ,,1934
FALSE,Mutiny on the Bounty ,,1935
FALSE,The 39 Steps ,,1935
FALSE,A Night at the Opera ,,1935
FALSE,Bride of Frankenstein ,,1935
FALSE,Captain Blood ,,1935
FALSE,Top Hat ,,1935
FALSE,Peter Ibbetson ,,1935
FALSE,The Story of a Cheat ,Le Roman d'un Tricheur,1936
FALSE,A Day in the Country ,Une Partie de Campagne,1936
FALSE,Modern Times ,,1936
FALSE,Swing Time ,,1936
FALSE,Mr. Deeds Goes to Town ,,1936
FALSE,My Man Godfrey ,,1936
FALSE,Camille ,,1936
FALSE,Things to Come ,,1936
FALSE,Dodsworth ,,1936
FALSE,Sabotage ,,1936
FALSE,Grand Illusion ,La Grande Illusion,1937
FALSE,Midnight Song ,Ye Ban Ge Sheng,1937
FALSE,Pépé le Moko ,,1937
FALSE,Make Way for Tomorrow ,,1937
FALSE,Stella Dallas ,,1937
FALSE,Snow White and the Seven Dwarfs,,1937
FALSE,Captains Courageous ,,1937
FALSE,The Awful Truth ,,1937
FALSE,The Life of Emile Zola ,,1937
FALSE,The Baker's Wife ,La Femme du Boulanger,1938
FALSE,Olympia Part One: Festival of the Nations,Olympia 1. Teil: Fest der Völker,1938
FALSE,Olympia Part Two: Festival of Beauty,Olympia 2. Teil: Fest der Schönheit,1938
FALSE,Jezebel ,,1938
FALSE,The Adventures of Robin Hood ,,1938
FALSE,Angels with Dirty Faces ,,1938
FALSE,Bringing Up Baby ,,1938
FALSE,The Lady Vanishes ,,1938
FALSE,The Rules of the Game ,La Régle du Jeu,1939
FALSE,Daybreak ,Le jour se lève,1939
FALSE,The Story of the Late Chrysanthemums ,Zangiku Monogatari,1939
FALSE,Wuthering Heights ,,1939
FALSE,Mr. Smith Goes to Washington ,,1939
FALSE,Stagecoach ,,1939
FALSE,Only Angels Have Wings ,,1939
FALSE,Destry Rides Again ,,1939
FALSE,Gone With the Wind ,,1939
FALSE,Gunga Din ,,1939
FALSE,Ninotchka ,,1939
FALSE,The Wizard of Oz ,,1939
FALSE,Babes in Arms ,,1939
FALSE,His Girl Friday ,,1940
FALSE,Fantasia ,,1940
FALSE,Rebecca ,,1940
FALSE,The Philadelphia Story ,,1940
FALSE,The Grapes of Wrath ,,1940
FALSE,The Mortal Storm ,,1940
FALSE,The Bank Dick ,,1940
FALSE,Pinocchio ,,1940
FALSE,"Dance, Girl, Dance ",,1940
FALSE,Citizen Kane ,,1941
FALSE,Sergeant York ,,1941
FALSE,The Lady Eve ,,1941
FALSE,The Wolf Man ,,1941
FALSE,High Sierra ,,1941
FALSE,How Green Was My Valley ,,1941
FALSE,Sullivan's Travels ,,1941
FALSE,The Maltese Falcon ,,1941
FALSE,Dumbo ,,1941
FALSE,The Palm Beach Story ,,1942
FALSE,"Now, Voyager ",,1942
FALSE,To Be Or Not To Be ,,1942
FALSE,The Magnificent Ambersons ,,1942
FALSE,Yankee Doodle Dandy ,,1942
FALSE,Mrs. Miniver ,,1942
TRUE,Casablanca ,,1942
FALSE,Cat People ,,1942
FALSE,Fires Were Started ,,1943
FALSE,The Ox-Bow Incident ,,1943
FALSE,The Life and Death of Colonel Blimp ,,1943
FALSE,Meshes of the Afternoon ,,1943
FALSE,The Seventh Victim ,,1943
FALSE,The Man in Grey ,,1943
FALSE,Shadow of a Doubt ,,1943
FALSE,Ossessione ,,1943
FALSE,I Walked with a Zombie ,,1943
FALSE,"Murder, My Sweet ",Farewell My Lovely,1944
FALSE,"Ivan the Terrible, Part I ",Ivan Groznyj,1944
FALSE,Laura ,,1944
FALSE,Meet Me in St. Louis ,,1944
FALSE,To Have and Have Not ,,1944
FALSE,Gaslight ,,1944
FALSE,Henry V ,,1944
FALSE,Double Indemnity ,,1944
FALSE,The Children of Paradise ,Les Enfants du Paradis,1945
FALSE,"Rome, Open City ","Roma, Città Aperta",1945
FALSE,Mildred Pierce ,,1945
FALSE,Detour ,,1945
FALSE,I Know Where I'm Going! ,,1945
FALSE,The Lost Weekend ,,1945
FALSE,The Battle of San Pietro ,,1945
FALSE,Brief Encounter ,,1945
FALSE,Spellbound ,,1945
FALSE,Beauty and the Beast ,La Belle et la Bête,1946
FALSE,The Best Years of Our Lives ,,1946
FALSE,Paisan ,,1946
FALSE,The Postman Always Rings Twice ,,1946
FALSE,The Killers ,,1946
FALSE,It's a Wonderful Life ,,1946
FALSE,The Big Sleep ,,1946
FALSE,Gilda ,,1946
FALSE,A Matter of Life and Death ,,1946
FALSE,Great Epectations ,,1946
FALSE,My Darling Clementine ,,1946
FALSE,Notorious ,,1946
FALSE,Black Narcissus ,,1946
FALSE,The Stranger ,,1946
FALSE,Out of the Past ,,1947
FALSE,Monsieur Verdoux ,,1947
FALSE,Odd Man Out ,,1947
FALSE,The Ghost and Mrs. Muir ,,1947
FALSE,The Bicycle Thief ,Ladri di Biciclette,1948
FALSE,Spring in a Small Town ,Xiao Cheng Zhi Chun,1948
FALSE,Letter From an Unknown Woman ,,1948
FALSE,Secret Beyond the Door ,,1948
FALSE,Force of Evil ,,1948
