Seen,Title,Alt,Year
FALSE,The Big Chill ,,1983
TRUE,Star Wars: Episode VI - Return of the Jedi ,,1983
FALSE,Terms of Endearment ,,1983
FALSE,El Norte ,,1983
FALSE,Videodrome ,,1983
FALSE,Koyaanisqatsi ,,1983
FALSE,Scarface ,,1983
FALSE,The King of Comedy ,,1983
FALSE,Local Hero ,,1983
FALSE,Once Upon a Time in America ,,1983
FALSE,The Terminator ,,1984
FALSE,The Natural ,,1984
FALSE,Ghostbusters ,,1984
FALSE,"Paris, Texas ",,1984
FALSE,A Nightmare on Elm Street ,,1984
FALSE,This is Spinal Tap ,,1984
FALSE,A Passage to India ,,1984
FALSE,Beverly Hills Cop ,,1984
FALSE,The Killing Fields ,,1984
FALSE,Stranger than Paradise ,,1984
FALSE,Amadeus ,,1984
FALSE,Utu ,,1984
FALSE,Come and See ,Idi i Smotri,1985
FALSE,The Official Story ,La Historia Oficial,1985
FALSE,Vagabond ,Sans Toit ni Loi,1985
FALSE,The Time to Live and the Time to Die ,Tong Nien Wang Shi,1985
FALSE,Prizzi's Honor ,,1985
FALSE,The Breakfast Club ,,1985
FALSE,Mishima: A Life in Four Chapters ,,1985
FALSE,Out of Africa ,,1985
FALSE,Ran ,,1985
FALSE,Back to the Future ,,1985
FALSE,Brazil ,,1985
FALSE,Kiss of the Spider Woman ,,1985
FALSE,The Quiet Earth ,,1985
FALSE,The Purple Rose of Cairo ,,1985
FALSE,Shoah ,,1985
FALSE,The Color Purple ,,1985
FALSE,A Room with a View ,,1985
FALSE,Tampopo ,,1985
FALSE,The Horse Thief ,Dao Ma Zei,1986
FALSE,Peking Opera Blues ,Do Ma Daan,1986
FALSE,The Decline of the American Empire ,Le Déclin de l'Empire Américain,1986
FALSE,Manhunter ,,1986
FALSE,Blue Velvet ,,1986
FALSE,Hannah and Her Sisters ,,1986
FALSE,She's Gotta Have It ,,1986
FALSE,Children of a Lesser God ,,1986
FALSE,Caravaggio ,,1986
FALSE,Salvador ,,1986
FALSE,Platoon ,,1986
FALSE,Down By Law ,,1986
FALSE,Aliens ,,1986
FALSE,Ferris Bueller's Day Off ,,1986
FALSE,The Fly ,,1986
FALSE,Top Gun ,,1986
FALSE,Sherman's March ,,1986
FALSE,Stand By Me ,,1986
FALSE,"Project A, Part II ",A' Gai Waak Juk Jaap,1987
FALSE,Goodbye Children ,Au Revoir les Enfants,1987
FALSE,Babette's Feast ,Babbetes Gaestebud,1987
FALSE,Wings of Desire ,Der Himmel Über Berlin,1987
FALSE,Red Sorghum ,Hong Gao Liang,1987
FALSE,A Chinese Ghost Story ,Sinnui Yauman,1987
FALSE,Brightness ,Yeelen,1987
FALSE,Raising Arizona ,,1987
FALSE,Withnail and I ,,1987
FALSE,The Princess Bride ,,1987
FALSE,Full Metal Jacket ,,1987
FALSE,Broadcast News ,,1987
FALSE,"Good Morning, Vietnam ",,1987
FALSE,Moonstruck ,,1987
FALSE,Wall Street ,,1987
FALSE,The Untouchables ,,1987
FALSE,Fatal Attraction ,,1987
FALSE,The Dead ,,1987
FALSE,Housekeeping ,,1987
FALSE,RoboCop ,,1987
FALSE,The Decalogue ,Dekalog,1988
FALSE,Grave of the Fireflies ,Hotaru no Haka,1988
FALSE,Hotel Terminus: The Life and Times of Klaus Barbie ,Hôtel Terminus: Klaus Barbie et Son Temps,1988
FALSE,Women on the Verge of a Nervous Breakdown ,Mujeres al Borde de un Ataque de Nervios,1988
FALSE,Alice ,Neco z Alenky,1988
FALSE,Cinema Paradiso ,Nuovo Cinema Paradiso,1988
FALSE,The Vanishing ,Spoorloos,1988
FALSE,Landscape in the Mist ,Topio Stin Omichli,1988
FALSE,The Story of Women ,Une Affaire de Femmes,1988
FALSE,A Tale of the Wind ,Une Histoire de Vent,1988
FALSE,Bull Durham ,,1988
FALSE,Ariel ,,1988
FALSE,The Thin Blue Line ,,1988
FALSE,Akira ,,1988
FALSE,A Fish Called Wanda ,,1988
FALSE,The Naked Gun ,,1988
FALSE,Big ,,1988
TRUE,Who Framed Roger Rabbit? ,,1988
FALSE,Rain Man ,,1988
FALSE,Die Hard ,,1988
FALSE,Dangerous Liaisons ,,1988
FALSE,Dead Ringers ,,1988
FALSE,"Distant Voices, Still Lives ",,1988
FALSE,The Accidental Tourist ,,1988
FALSE,Drowning By Numbers ,,1988
FALSE,The Asthenic Syndrome ,Astenicheskij Sindrom,1989
FALSE,A City of Sadness ,Beiqing Chengshi,1989
FALSE,The Killer ,Die Xue Shuang Xiong,1989
TRUE,When Harry Met Sally ,,1989
FALSE,Crimes and Misdemeanors ,,1989
FALSE,Batman ,,1989
FALSE,Field of Dreams ,,1989
FALSE,Glory ,,1989
FALSE,"The Cook, the Thief, His Wife, & Her Lover ",,1989
FALSE,My Left Foot ,,1989
FALSE,Drugstore Cowboy ,,1989
FALSE,Do the Right Thing ,,1989
FALSE,The Unbelievable Truth ,,1989
FALSE,Roger & Me ,,1989
FALSE,"Sex, Lies, and Videotape ",,1989
FALSE,Say Anything ,,1989
FALSE,Tongues Untied ,,1989
FALSE,Tetsuo ,,1989
FALSE,Europa Europa ,Hitlerjunge Salomon,1990
FALSE,Close-Up ,Nema-ye Nazdik,1990
FALSE,"No Fear, No Die ",S'en Fout la Mort,1990
FALSE,Trust ,,1990
TRUE,Goodfellas ,,1990
FALSE,King of New York ,,1990
FALSE,Pretty Woman ,,1990
FALSE,Dances with Wolves ,,1990
FALSE,Henry: Portrait of a Serial Killer ,,1990
FALSE,Archangel ,,1990
TRUE,Total Recall ,,1990
TRUE,Edward Scissorhands ,,1990
FALSE,Reversal of Fortune ,,1990
FALSE,Jacob's Ladder ,,1990
FALSE,Raise the Red Lantern ,Da Hong Deng Long Gao Gao Gua,1991
FALSE,A Brighter Summer Day ,Guling Jie Shaonian Sha Ren Shijian,1991
FALSE,The Beautiful Troublemaker ,La Belle Noiseuse,1991
FALSE,The Double Life of Veronique ,La Double Vie de Véronique,1991
FALSE,Once Upon a Time in China ,Wong Fei-Hung,1991
FALSE,Boyz 'N the Hood ,,1991
FALSE,The Rapture ,,1991
FALSE,JFK ,,1991
FALSE,Slacker ,,1991
FALSE,Thelma & Louise ,,1991
FALSE,My Own Private Idaho ,,1991
FALSE,The Silence of the Lambs ,,1991
TRUE,Terminator 2: Judgment Day ,,1991
FALSE,Delicatessen ,,1991
FALSE,Hearts of Darkness: A Filmmaker's Apocalypse ,,1991
FALSE,Naked Lunch ,,1991
FALSE,Man Bites Dog ,C'est Arrivé Près de Chez Vous,1992
FALSE,A Tale of Winter ,Conte D'hiver,1992
FALSE,The Actress ,Yuen Ling-Yuk,1992
FALSE,Romper Stomper ,,1992
FALSE,Strictly Ballroom ,,1992
FALSE,The Player ,,1992
FALSE,Reservoir Dogs ,,1992
FALSE,Glengarry Glen Ross ,,1992
FALSE,Unforgiven ,,1992
FALSE,The Crying Game ,,1992
FALSE,Bram Stoker's Dracula ,,1992
FALSE,Candyman ,,1992
FALSE,Aileen Wuornos: The Selling of a Serial Killer ,,1992
FALSE,Farewell My Concubine ,Ba Wang Bie Ji,1993
FALSE,The Wedding Banquet ,Hsi Yen,1993
FALSE,The Puppetmaster ,Hsimeng Jensheng,1993
FALSE,The Blue Kite ,Lan Feng Zheng,1993
FALSE,Three Colors: Blue ,Trois Couleurs: Bleu,1993
FALSE,Philadelphia ,,1993
FALSE,Short Cuts ,,1993
TRUE,Schindler's List ,,1993
FALSE,Groundhog Day ,,1993
FALSE,The Piano ,,1993
FALSE,Thirty Two Short Films About Glenn Gould ,,1993
FALSE,Jurassic Park ,,1993
FALSE,The Age of Innocence ,,1993
FALSE,Dear Diary ,Caro Diario,1994
FALSE,Chungking Express ,Chong Qing Sen Lin,1994
