List,Seen,Name,Year,IMDB
1000+ Movies to Watch Before You Die,true,A Trip to the Moon,1902,tt0000417
1000+ Movies to Watch Before You Die,true,The Great Train Robbery,1903,tt0000439
1000+ Movies to Watch Before You Die,false,The Birth of a Nation,1915,tt0004972
1000+ Movies to Watch Before You Die,false,Les vampires,1915,tt0006206
1000+ Movies to Watch Before You Die,false,Intolerance,1916,tt0006864
1000+ Movies to Watch Before You Die,false,Broken Blossoms,1919,tt0009968
1000+ Movies to Watch Before You Die,false,The Cabinet of Dr. Caligari,1920,tt0010323
1000+ Movies to Watch Before You Die,false,Way Down East,1920,tt0011841
1000+ Movies to Watch Before You Die,false,Within Our Gates,1920,tt0011870
1000+ Movies to Watch Before You Die,false,The Phantom Carriage,1921,tt0012364
1000+ Movies to Watch Before You Die,false,Orphans of the Storm,1921,tt0012532
1000+ Movies to Watch Before You Die,false,"Dr. Mabuse, the Gambler",1922,tt0013086
1000+ Movies to Watch Before You Die,false,Häxan,1922,tt0013257
1000+ Movies to Watch Before You Die,false,The Great White Silence,1922,tt1764657
1000+ Movies to Watch Before You Die,false,Foolish Wives,1922,tt0013140
1000+ Movies to Watch Before You Die,false,Nanook of the North,1922,tt0013427
1000+ Movies to Watch Before You Die,true,Nosferatu,1922,tt0013442
1000+ Movies to Watch Before You Die,false,Our Hospitality,1923,tt0014341
1000+ Movies to Watch Before You Die,false,The Smiling Madame Beudet,1923,tt0013626
1000+ Movies to Watch Before You Die,false,The Wheel,1923,tt0014417
1000+ Movies to Watch Before You Die,false,Greed,1924,tt0015881
1000+ Movies to Watch Before You Die,false,Sherlock Jr.,1924,tt0015324
1000+ Movies to Watch Before You Die,false,The Thief of Bagdad,1924,tt0015400
1000+ Movies to Watch Before You Die,false,The Last Laugh,1924,tt0015064
1000+ Movies to Watch Before You Die,false,The Big Parade,1925,tt0015624
1000+ Movies to Watch Before You Die,false,The Phantom of the Opera,1925,tt0016220
1000+ Movies to Watch Before You Die,false,Strike,1925,tt0015361
1000+ Movies to Watch Before You Die,false,Battleship Potemkin,1925,tt0015648
1000+ Movies to Watch Before You Die,false,The Eagle,1925,tt0015772
1000+ Movies to Watch Before You Die,false,The Gold Rush,1925,tt0015864
1000+ Movies to Watch Before You Die,false,Seven Chances,1925,tt0016332
1000+ Movies to Watch Before You Die,false,The General,1926,tt0017925
1000+ Movies to Watch Before You Die,false,The Adventures of Prince Achmed,1926,tt0015532
1000+ Movies to Watch Before You Die,false,Napoleon,1927,tt0018192
1000+ Movies to Watch Before You Die,false,The Kid Brother,1927,tt0018051
1000+ Movies to Watch Before You Die,false,The Unknown,1927,tt0018528
1000+ Movies to Watch Before You Die,false,The Jazz Singer,1927,tt0018037
1000+ Movies to Watch Before You Die,false,October (Ten Days that Shook the World),1927,tt0018217
1000+ Movies to Watch Before You Die,false,Metropolis,1927,tt0017136
1000+ Movies to Watch Before You Die,false,Sunrise,1927,tt0018455
1000+ Movies to Watch Before You Die,false,Storm Over Asia,1928,tt0019286
1000+ Movies to Watch Before You Die,false,The Passion of Joan of Arc,1928,tt0019254
1000+ Movies to Watch Before You Die,false,The Docks of New York,1928,tt0018839
1000+ Movies to Watch Before You Die,false,"Steamboat Bill, Jr.",1928,tt0019421
1000+ Movies to Watch Before You Die,false,The Crowd,1928,tt0018806
1000+ Movies to Watch Before You Die,false,Pandora's Box,1929,tt0018737
1000+ Movies to Watch Before You Die,false,Blackmail,1929,tt0019702
1000+ Movies to Watch Before You Die,false,Man with a Movie Camera,1929,tt0019760
1000+ Movies to Watch Before You Die,false,An Andalusian Dog,1929,tt0020530
1000+ Movies to Watch Before You Die,false,A Throw of Dice,1929,tt0020286
1000+ Movies to Watch Before You Die,false,The Golden Age,1930,tt0021577
1000+ Movies to Watch Before You Die,false,All Quiet on the Western Front,1930,tt0020629
1000+ Movies to Watch Before You Die,false,The Blue Angel,1930,tt0020697
1000+ Movies to Watch Before You Die,false,Earth,1930,tt0021571
1000+ Movies to Watch Before You Die,false,Little Caesar,1931,tt0021079
1000+ Movies to Watch Before You Die,false,Tabu: A Story of the South Seas,1931,tt0022458
1000+ Movies to Watch Before You Die,false,City Lights,1931,tt0021749
1000+ Movies to Watch Before You Die,false,Dracula,1931,tt0021814
1000+ Movies to Watch Before You Die,false,Frankenstein,1931,tt0021884
1000+ Movies to Watch Before You Die,false,The Public Enemy,1931,tt0022286
1000+ Movies to Watch Before You Die,false,Limit,1931,tt0022080
1000+ Movies to Watch Before You Die,true,M,1931,tt0022100
1000+ Movies to Watch Before You Die,false,Freaks,1932,tt0022913
1000+ Movies to Watch Before You Die,false,The Bitter Tea of General Yen,1932,tt0023814
1000+ Movies to Watch Before You Die,false,Boudu Saved from Drowning,1932,tt0022718
1000+ Movies to Watch Before You Die,false,I Am a Fugitive from a Chain Gang,1932,tt0023042
1000+ Movies to Watch Before You Die,false,Love Me Tonight,1932,tt0023158
1000+ Movies to Watch Before You Die,false,Shanghai Express,1932,tt0023458
1000+ Movies to Watch Before You Die,false,Trouble in Paradise,1932,tt0023622
1000+ Movies to Watch Before You Die,false,Me and My Gal,1932,tt0023202
1000+ Movies to Watch Before You Die,false,Sons of the Desert,1933,tt0024601
1000+ Movies to Watch Before You Die,false,Queen Christina,1933,tt0024481
1000+ Movies to Watch Before You Die,false,King Kong,1933,tt0024216
1000+ Movies to Watch Before You Die,false,Gold Diggers of 1933,1933,tt0024069
1000+ Movies to Watch Before You Die,false,Duck Soup,1933,tt0023969
1000+ Movies to Watch Before You Die,false,She Done Him Wrong,1933,tt0024548
1000+ Movies to Watch Before You Die,false,Footlight Parade,1933,tt0024028
1000+ Movies to Watch Before You Die,false,42nd Street,1933,tt0024034
1000+ Movies to Watch Before You Die,false,Zero for Conduct,1933,tt0024803
1000+ Movies to Watch Before You Die,false,The Thin Man,1934,tt0025878
1000+ Movies to Watch Before You Die,false,The Black Cat,1934,tt0024894
1000+ Movies to Watch Before You Die,false,L'Atalante,1934,tt0024844
1000+ Movies to Watch Before You Die,false,It Happened One Night,1934,tt0025316
1000+ Movies to Watch Before You Die,false,It's a Gift,1934,tt0025318
1000+ Movies to Watch Before You Die,false,The Goddess of Spring,1934,tt0025184
1000+ Movies to Watch Before You Die,false,Judge Priest,1934,tt0025335
1000+ Movies to Watch Before You Die,false,Top Hat,1935,tt0027125
1000+ Movies to Watch Before You Die,false,Ye ban ge sheng,1935,tt0206442
1000+ Movies to Watch Before You Die,false,Peter Ibbetson,1935,tt0026866
1000+ Movies to Watch Before You Die,false,Triumph of the Will,1935,tt0025913
1000+ Movies to Watch Before You Die,false,Mutiny on the Bounty,1935,tt0026752
1000+ Movies to Watch Before You Die,false,The 39 Steps,1935,tt0026029
1000+ Movies to Watch Before You Die,false,A Night at the Opera,1935,tt0026778
1000+ Movies to Watch Before You Die,false,Bride of Frankenstein,1935,tt0026138
1000+ Movies to Watch Before You Die,false,Captain Blood,1935,tt0026174
1000+ Movies to Watch Before You Die,false,Mr. Deeds Goes to Town,1936,tt0027996
1000+ Movies to Watch Before You Die,false,The Story of a Cheat,1936,tt0028201
1000+ Movies to Watch Before You Die,false,Modern Times,1936,tt0027977
1000+ Movies to Watch Before You Die,false,Swing Time,1936,tt0028333
1000+ Movies to Watch Before You Die,false,My Man Godfrey,1936,tt0028010
1000+ Movies to Watch Before You Die,false,Camille,1936,tt0028683
1000+ Movies to Watch Before You Die,false,Things to Come,1936,tt0028358
1000+ Movies to Watch Before You Die,false,Dodsworth,1936,tt0027532
1000+ Movies to Watch Before You Die,false,Sabotage,1936,tt0028212
1000+ Movies to Watch Before You Die,false,Make Way for Tomorrow,1937,tt0029192
1000+ Movies to Watch Before You Die,false,Stella Dallas,1937,tt0029608
1000+ Movies to Watch Before You Die,false,Snow White and the Seven Dwarfs,1937,tt0029583
1000+ Movies to Watch Before You Die,false,Captains Courageous,1937,tt0028691
1000+ Movies to Watch Before You Die,false,The Awful Truth,1937,tt0028597
1000+ Movies to Watch Before You Die,false,The Life of Emile Zola,1937,tt0029146
1000+ Movies to Watch Before You Die,false,The Grand Illusion,1937,tt0028950
1000+ Movies to Watch Before You Die,false,Pépé le Moko,1937,tt0029453
1000+ Movies to Watch Before You Die,false,Olympia Part One: Festival of the Nations,1938,tt0030522
1000+ Movies to Watch Before You Die,false,Jezebel,1938,tt0030287
1000+ Movies to Watch Before You Die,false,The Adventures of Robin Hood,1938,tt0029843
1000+ Movies to Watch Before You Die,false,Angels with Dirty Faces,1938,tt0029870
1000+ Movies to Watch Before You Die,false,The Lady Vanishes,1938,tt0030341
1000+ Movies to Watch Before You Die,false,Bringing Up Baby,1938,tt0029947
1000+ Movies to Watch Before You Die,false,The Baker's Wife,1938,tt0030127
1000+ Movies to Watch Before You Die,false,Olympia Part Two: Festival of Beauty,1938,tt0030523
1000+ Movies to Watch Before You Die,false,Destry Rides Again,1939,tt0031225
1000+ Movies to Watch Before You Die,false,The Rules of the Game,1939,tt0031885
1000+ Movies to Watch Before You Die,false,Wuthering Heights,1939,tt0032145
1000+ Movies to Watch Before You Die,false,Mr. Smith Goes to Washington,1939,tt0031679
1000+ Movies to Watch Before You Die,false,Stagecoach,1939,tt0031971
1000+ Movies to Watch Before You Die,false,Only Angels Have Wings,1939,tt0031762
1000+ Movies to Watch Before You Die,false,Gone with the Wind,1939,tt0031381
1000+ Movies to Watch Before You Die,false,Gunga Din,1939,tt0031398
1000+ Movies to Watch Before You Die,false,Ninotchka,1939,tt0031725
1000+ Movies to Watch Before You Die,false,The Wizard of Oz,1939,tt0032138
1000+ Movies to Watch Before You Die,false,Babes in Arms,1939,tt0031066
1000+ Movies to Watch Before You Die,false,The Story of the Last Chrysanthemum,1939,tt0032156
1000+ Movies to Watch Before You Die,false,The Mortal Storm,1940,tt0032811
1000+ Movies to Watch Before You Die,false,Pinocchio,1940,tt0032910
